"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"0.110456","0.050764","0.031715","-0.026962","-0.157928","-0.033875","0.149157","0.394773","0.486162","0.3647","0.29249","0.216185","0.2814","0.06744","0.313502","0.466004","-0.055066","-0.405136","-0.913882","-1.257421","-1.429096","-1.306246","-0.995367","-0.520951","-0.076731","0.142282","0.243951","0.228558","0.106396","0.109085","0.128498","0.156052","0.142071","0.108661","0.047955","0.014175","-0.134797","-0.388015","-0.63437","-0.903933","-1.0041","-0.949939","-0.776759","-0.382021","0.047542","0.50823","2"
"0.239927","0.534785","0.618089","0.584342","0.679185","0.801804","0.688736","0.604562","0.613011","0.619542","0.778143","0.688279","-0.038023","-0.477427","-0.952406","-0.70205","-0.549072","0.362785","0.401995","0.245301","-0.032137","-0.285492","-0.319401","-0.431423","-0.533864","-0.656776","-0.76955","-0.767216","-0.645016","-0.559702","-0.411271","-0.332404","-0.297062","-0.358755","-0.454684","-0.515417","-0.592432","-0.75958","-0.855838","-0.922715","-0.907547","-0.710593","-0.428337","0.016128","0.601676","1.239403","2"
"0.565067","0.606638","0.628892","0.52677","0.259501","-0.031493","-0.004877","0.048485","-0.031873","-0.325164","-0.803721","-0.87658","-0.960666","-1.173802","-1.093879","-0.645626","-0.849012","-0.888309","-0.989095","-1.247291","-1.688983","-2.053917","-2.191419","-2.185978","-2.048688","-1.921304","-1.717505","-1.382254","-0.985162","-0.546036","-0.104392","0.49082","1.036735","1.211251","1.101542","0.811366","0.682858","0.44088","-0.094417","-0.575464","-0.819438","-0.854604","-0.548599","-0.102966","0.358827","0.748976","2"
"0.408285","0.527155","0.629936","0.874892","1.294015","1.327874","1.089254","1.54657","1.880024","1.494503","1.103706","0.570259","0.308986","0.058839","-0.370702","-1.716511","-1.638241","-0.609957","0.1823","0.376497","0.433512","0.136548","-0.096824","-0.325234","-0.518924","-0.558223","-0.538897","-0.426966","-0.124139","-0.157283","-0.256761","-0.356726","-0.59432","-0.820086","-1.270832","-1.624776","-1.707006","-1.613032","-1.333923","-0.92593","-0.35474","0.13423","0.5107","0.798035","0.939364","0.985234","2"
"1.052117","0.602968","0.231382","0.129587","0.071666","-0.401924","-0.694474","-0.686947","-0.793623","-0.870949","-0.98475","-1.011747","-1.069772","-1.60492","-1.951576","-1.969941","-1.537032","-1.019446","-0.587671","-0.405762","-0.28651","-0.202215","-0.11854","-0.118194","-0.170017","-0.212499","-0.265188","-0.339001","-0.323901","-0.198951","-0.071447","-0.063659","-0.102493","-0.134278","-0.224556","-0.43798","-0.71022","-1.108823","-1.407892","-1.436531","-1.222347","-0.799947","-0.30558","0.326634","0.822684","1.141089","2"
"0.522778","0.55059","0.495623","0.535706","0.579022","0.551299","0.634428","0.255127","-0.135314","0.340278","0.744542","0.623683","0.204154","0.247226","-0.095664","-0.503042","-0.338527","0.009285","-0.071667","-0.517791","-1.164311","-1.532538","-1.405972","-1.071241","-0.715967","-0.53363","-0.395967","-0.380661","-0.477283","-0.499875","-0.510914","-0.457584","-0.447297","-0.429335","-0.360245","-0.450258","-0.727324","-0.912523","-0.983268","-1.000265","-1.073722","-0.957637","-0.7133","-0.31463","0.193954","0.610558","2"
"-0.264969","-0.121045","-0.08885","0.020495","0.255169","0.317547","0.30405","0.471584","0.419724","0.269672","0.456209","0.763213","0.752775","0.6241","-0.117757","-0.671396","-0.868106","-1.009269","-1.118214","-1.604219","-1.760891","-1.680813","-1.279742","-0.799343","-0.374447","-0.037859","0.236204","0.310771","0.321907","0.333339","0.38182","0.444372","0.374242","0.118353","-0.277058","-0.680454","-0.90474","-1.336438","-1.708884","-1.694195","-1.815872","-2.087715","-1.780882","-1.44932","-0.865153","-0.085696","2"
"0.209919","0.301064","0.361041","0.450738","0.414061","0.401582","0.384014","0.229313","0.422183","0.682088","0.753517","0.773686","0.158748","-0.136521","-0.276884","-0.589128","-1.775956","-1.531796","-0.691312","0.035047","0.24262","0.09334","-0.125933","-0.322628","-0.557502","-0.715752","-0.87631","-0.963655","-0.943448","-0.858302","-0.788178","-0.829742","-0.878705","-1.059349","-1.352178","-1.452517","-1.582262","-1.770587","-1.617844","-1.309513","-0.945935","-0.450502","0.187386","0.830327","0.833926","0.59049","2"
"0.605829","0.514157","0.429375","0.393402","0.320854","0.327721","0.367328","0.426136","0.572213","0.66291","0.97835","1.12034","0.815041","0.344206","-0.022251","-0.378315","-0.681518","-0.326663","-0.29299","-0.803381","-0.919047","-0.802241","-0.482251","-0.228041","0.004743","0.075708","-0.019243","0.03366","-0.068655","-0.195481","-0.368022","-0.513415","-0.577178","-0.744556","-0.916776","-1.091119","-1.290398","-1.430121","-1.418258","-1.118668","-0.732385","-0.27522","-0.016795","0.086906","0.191007","0.292338","2"
"0.189531","0.240404","0.323413","0.326769","0.257444","0.138107","0.096245","0.029176","-0.022424","0.139735","0.394083","0.425665","0.556113","0.364373","-0.242406","-0.747896","-0.938377","-0.687617","-0.52706","-1.12709","-1.514227","-1.430616","-1.200348","-0.797203","-0.366682","0.059244","0.338651","0.473961","0.481653","0.381583","0.199382","0.023865","-0.126809","-0.372538","-0.606709","-0.883099","-1.160775","-1.281722","-1.247596","-1.001671","-0.70068","-0.262932","0.147497","0.559236","0.723459","0.579307","2"
