"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"-0.697962","-0.571418","-0.654655","-0.623524","-0.430848","-0.218736","-0.061555","-0.032662","0.022843","0.26038","0.512484","1.024308","0.724576","1.25368","0.540762","0.311577","0.073542","0.219516","-0.350066","-0.188769","-0.056725","-0.102508","-0.034633","-0.121932","-0.226158","-0.171416","-0.291522","-0.275822","-0.277608","-0.382461","-0.310197","-0.168432","-0.032484","0.12997","0.289147","0.427969","0.433","0.27179","0.150075","0.182261","0.178938","0.168093","0.071803","-0.233174","-0.289479","-0.131925","2"
"-0.489522","-0.41195","-0.359166","-0.424835","-0.669966","-0.700511","-0.487769","-0.557379","-0.462049","0.069535","-0.129708","0.22698","1.180978","0.668563","1.218412","0.715518","0.70823","-0.772093","0.323056","0.274838","0.116601","0.081055","-0.127854","-0.019855","-0.122435","-0.197659","-0.207589","-0.263631","-0.355509","-0.184399","-0.195506","-0.034041","0.156092","0.312077","0.441775","0.379154","0.258951","0.038442","-0.143145","-0.019129","0.055808","-0.123356","-0.152643","-0.128937","-0.091505","-0.002271","2"
"-0.539617","-0.594011","-0.814128","-0.850967","-0.60547","-0.330573","-0.667331","-0.507872","-0.245387","-0.152049","0.43056","0.410948","0.868982","1.145287","0.322936","-0.208952","0.470367","0.673057","-0.398128","0.173182","0.326145","0.06196","-0.179952","-0.088219","0.184437","0.312935","0.055847","-0.17468","-0.180256","-0.009199","0.065654","-0.035321","0.050702","0.284314","0.555983","0.733945","0.440038","0.306343","0.309711","0.220358","0.198438","0.126022","-0.024997","0.000984","-0.027955","-0.125872","2"
"-0.554973","-0.380678","-0.264202","-0.437116","-0.865611","-0.575153","0.410786","-0.196912","-0.594956","0.336051","0.869025","0.711573","0.678412","0.652018","0.378686","1.695241","-0.394264","0.212903","0.246981","0.764699","0.164221","0.119099","-0.286333","-0.396104","-0.359727","-0.461717","-0.440918","-0.403532","-0.469375","-0.24131","-0.11688","-0.039723","0.187273","0.027004","-0.009501","0.117182","0.13731","0.113248","0.166043","0.194404","0.058674","0.157465","0.199663","0.181022","0.258461","0.41384","2"
"-0.093493","0.004714","0.059857","-0.014761","-0.35999","-0.352343","-0.315411","-0.558692","-0.603333","-0.563258","-0.190734","-0.390529","-0.188736","0.616554","0.072346","-0.101531","-0.157666","-0.046109","0.217121","0.384878","0.341294","0.265685","0.24297","0.029234","-0.025205","0.013995","-0.098227","-0.228621","-0.237621","-0.161029","-0.005802","0.103249","0.129573","0.194972","0.379334","0.369044","0.259173","0.234885","0.190513","0.243004","0.348212","0.311094","0.049968","-0.08978","0.015932","0.017357","2"
"-0.564354","-0.426021","-0.424967","-0.507715","-0.593662","-0.434654","-0.546437","-0.264003","0.280505","-0.036449","-0.236026","0.717077","1.26284","0.199998","0.60713","0.978416","0.518971","-0.419658","-0.620364","-0.354558","0.422158","0.091918","-0.215141","-0.079453","-0.1792","-0.146965","-0.272405","-0.21417","-0.150705","-0.310845","-0.189261","-0.068857","-0.045884","0.090344","0.293284","0.623147","0.603462","0.321476","0.210346","0.270153","0.32669","0.233462","0.077124","-0.097197","-0.1916","0.051912","2"
"-0.599232","-0.464133","-0.283854","-0.312102","-0.40192","-0.159408","0.077747","-0.123971","0.017586","0.332473","0.463739","0.816909","1.159224","0.745127","0.886043","0.438901","-0.629937","-0.534615","-0.562004","0.296031","-0.288406","0.032025","0.334803","0.145155","-0.059478","-0.296537","-0.346382","-0.123164","-0.074401","-0.209058","-0.263737","-0.272968","-0.031893","0.344408","0.35297","0.044898","-0.201992","0.007893","0.14558","-0.213647","-0.400564","-0.351676","-0.152491","0.533729","0.430031","0.174331","2"
"-0.033912","-0.159835","0.034461","-0.035104","-0.142992","-0.110056","0.026462","0.288044","0.120547","0.129553","0.564783","0.525309","0.970773","-0.221854","-0.622071","0.78788","1.886132","0.237515","-0.37261","0.179142","0.364787","0.342069","0.033576","-0.219511","-0.163356","-0.21436","-0.201548","-0.270187","-0.272589","-0.204951","-0.103485","0.050005","0.091667","0.217258","0.169693","-0.070248","-0.012676","0.066914","0.198558","0.247879","0.252109","0.201624","0.216377","0.112399","0.049549","0.134479","2"
"-0.248101","0.040353","0.080813","0.011752","0.055902","0.094359","0.184515","0.242753","0.241183","0.420467","0.559754","0.91741","1.271362","0.711189","0.084668","0.456625","0.079215","-0.707374","-0.384011","0.605524","-0.129695","-0.155729","-0.055475","0.174446","0.052451","-0.066661","-0.105171","-0.239989","-0.01368","0.105364","0.067246","-0.035947","-0.205901","-0.23481","-0.450032","-0.415941","-0.444454","-0.427337","-0.268837","-0.111467","0.209282","0.081681","0.16168","-0.081852","-0.409296","-0.287376","2"
"0.324561","0.228605","0.056108","0.045058","0.189579","0.311522","0.191033","0.165591","0.273844","0.395231","0.518907","1.083226","0.929763","0.722023","0.867689","0.564433","0.024808","-0.740601","-0.356835","-0.019551","0.247336","-0.344001","-0.123999","0.000823","0.121988","-0.083552","-0.228958","-0.23385","-0.157191","-0.12619","-0.095159","-0.089883","-0.097504","-0.058115","-0.183115","-0.156923","-0.139201","-0.102934","-0.007882","-0.09111","-0.139557","-0.077927","0.119038","0.066728","-0.049797","-0.103591","2"
"-0.15741","-0.297587","-0.440314","-0.22376","0.004802","0.055325","0.146017","0.232142","0.328061","0.679857","0.649396","0.907263","1.339498","1.041676","0.955342","0.356685","-0.250772","0.667647","-0.484912","0.195225","-0.306109","-0.328354","-0.004231","-0.112244","-0.397229","-0.405587","-0.313363","-0.301876","-0.29043","-0.387525","-0.240015","-0.10362","-0.071789","0.101375","0.138407","0.254173","0.193495","0.118113","0.105675","0.037009","0.09576","0.070623","-0.121957","-0.166487","-0.126724","-0.224491","2"
"-0.200371","-0.146564","-0.404025","-0.516007","-0.22707","-0.017281","-0.075832","-0.219417","-0.016612","0.227186","-0.058103","0.404683","0.481146","0.616231","0.970468","-0.113693","0.93067","-0.014704","0.127784","-0.092763","-0.193926","0.05503","0.149926","-0.202704","-0.138469","-0.096042","-0.254003","-0.292741","-0.237942","-0.25298","-0.306262","-0.139244","0.089175","0.225402","0.216667","0.106655","0.307175","0.336339","0.076985","-0.069999","0.069636","0.211585","0.206597","0.041934","-0.078818","-0.110888","2"
"-0.42809","-0.319013","-0.550374","-0.805607","-0.760997","-0.501271","-0.389286","-0.324885","-0.14058","0.039365","0.460069","0.252481","0.373251","0.613534","0.728325","-0.387613","-0.259407","-0.148372","0.018029","0.389835","0.096845","-0.173311","0.041472","-0.042888","-0.029758","-0.118249","-0.154805","-0.111801","-0.028151","0.122442","0.042598","-0.004737","0.207272","0.370662","0.375332","0.283057","0.070163","-0.064633","0.051048","0.104388","-0.042389","-0.117907","-0.163631","-0.13103","-0.164953","-0.122338","2"
"-0.416522","-0.562626","-0.551794","-0.420152","-0.551254","-0.620928","-0.441179","-0.395047","-0.313425","-0.188102","0.018991","0.108094","0.20111","0.354835","0.292981","0.076348","-0.415935","0.07653","0.138572","0.05453","0.231182","0.26859","0.098661","-0.014741","-0.122487","-0.106604","-0.067047","-0.017464","-0.04937","-0.100368","-0.191939","-0.00959","0.221196","0.205281","0.332931","0.41224","0.417348","0.368991","0.27923","0.224587","0.150379","0.065176","0.059883","0.005881","-0.10506","-0.197985","2"
"-0.259606","-0.235068","-0.435631","-0.54835","-0.425237","-0.459953","-0.312539","-0.164688","-0.028468","-0.160094","0.607524","0.911551","0.136278","-0.353768","0.386861","-0.828239","0.532642","0.212236","0.09502","0.111961","0.030605","-0.130265","-0.189179","-0.159098","-0.132964","-0.07458","-0.123616","-0.122167","-0.080822","-0.038827","0.034529","0.093369","0.192195","0.259068","0.351944","0.331584","0.241756","0.247031","0.150692","-0.045744","-0.075214","-0.070359","-0.172093","-0.091679","-0.009871","-0.104604","2"
"0.093611","-0.086228","-0.463996","-0.649007","-0.624817","-0.598137","-0.472479","-0.471864","-0.540441","-0.132064","-0.086802","0.064685","0.791727","-0.111233","0.079039","0.684587","1.175362","-0.238685","-0.144737","0.098765","-0.052295","0.038223","0.341992","0.208806","-0.040563","-0.176598","-0.234997","-0.223411","-0.214821","-0.19069","-0.175971","-0.096045","-0.047458","0.155244","0.322465","0.247227","0.327722","0.491249","0.442867","0.244573","0.215398","0.243854","0.11925","0.04104","0.089142","-0.133349","2"
"-0.611748","-0.471398","-0.542509","-0.467619","-0.39418","-0.249452","0.124871","-0.016757","-0.163176","0.560459","0.79465","0.968848","0.03498","0.606891","1.242557","-0.244377","-0.396929","0.059922","0.381895","0.044498","-0.086293","-0.258897","-0.325616","-0.285004","-0.412706","-0.364089","-0.323035","-0.371778","-0.264485","-0.260757","0.058779","0.248025","0.283395","0.348447","0.245078","0.145457","0.137758","0.054915","-0.028637","0.044962","-0.010418","-0.214127","-0.364508","-0.160901","0.076581","-0.013253","2"
"-0.589726","-0.341148","-0.487645","-0.547657","-0.173844","-0.002162","-0.119053","0.154504","-0.154316","0.299528","1.15624","0.878946","0.316571","0.609603","-0.274305","0.373524","-0.446674","-0.090963","-0.167059","-0.12008","0.214162","0.142285","-0.124034","-0.209579","-0.103191","-0.058839","-0.131598","-0.221886","-0.182046","-0.153489","-0.153225","0.05357","0.231525","0.149624","0.204874","0.147675","0.117452","0.100961","0.008152","-0.079861","-0.124636","-0.173977","-0.208813","-0.21076","-0.082165","0.065118","2"
"-0.323112","-0.394187","-0.502714","-0.572339","-0.613761","-0.575114","-0.610243","-0.290269","-0.105365","0.086717","0.260082","0.73644","0.567728","-0.248868","0.742804","0.688035","0.243653","-0.032783","0.008832","0.318486","0.32333","0.235673","0.169816","0.186782","-0.024818","-0.166784","-0.135713","-0.217249","-0.254788","-0.153289","-0.079081","0.018766","0.061698","0.012829","0.145298","0.487969","0.659589","0.301896","0.289386","0.424302","0.250226","0.24391","0.230731","0.081696","0.055467","0.189993","2"
"-0.304616","-0.631615","-0.509066","-0.247442","-0.412236","-0.325429","0.042912","0.082105","-0.128035","0.532216","0.875422","1.084361","0.958727","0.700293","0.713508","1.426175","-0.641131","-0.039259","0.267791","0.147985","-0.153934","-0.203876","-0.307466","-0.304947","-0.220559","-0.312747","-0.510705","-0.5028","-0.234009","-0.111466","-0.100767","0.01658","0.235593","0.403513","0.308865","0.199371","0.120136","0.080469","0.068201","0.026219","-0.020714","-0.053801","-0.089186","-0.114306","-0.079844","-0.047213","2"
"-0.500207","-0.564218","-0.528827","-0.478739","-0.419648","-0.083121","-0.161778","-0.262911","0.015437","0.216204","0.446357","0.660496","0.791321","0.636976","0.498277","0.155448","0.05967","-0.163591","-0.101072","-0.223506","-0.077662","0.108183","0.121882","-0.243551","-0.280592","-0.146962","-0.124116","-0.13945","-0.296348","-0.224364","-0.050031","0.180387","0.39568","0.530735","0.686265","0.902966","0.808191","0.423182","0.14316","0.002376","-0.089595","-0.107902","-0.207123","-0.351899","-0.460713","-0.393127","2"
