"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"0.337615","0.718737","1.062983","1.051156","0.74626","0.764351","0.488689","0.000187","0.448618","1.051267","0.235279","0.943749","1.231916","1.300796","2.458239","0.954259","-2.360075","-4.490275","-4.341884","-2.759201","-1.364748","-0.625547","-0.042268","0.77022","1.297999","1.670555","2.013459","1.92807","1.744133","1.618866","1.463741","1.37497","1.287263","1.188674","1.101027","0.755531","0.173835","-0.726434","-1.415403","-1.524919","-1.432449","-1.518416","-1.619303","-1.52576","-1.114954","-0.444691","2"
"0.916426","1.163962","0.865002","0.580884","0.957417","1.149274","0.735277","0.730001","0.382111","0.533935","1.588609","2.174202","3.29862","3.102123","0.649223","-1.05005","-2.230331","-2.100351","-2.687903","-1.934336","-0.746992","-0.584079","-0.97398","-1.003395","-0.179144","0.75434","0.870188","0.268564","-0.299387","-0.222187","0.145696","0.26216","0.282243","0.448192","0.837688","0.946711","0.334175","-0.304335","-0.879716","-1.307012","-1.366534","-1.43526","-1.257425","-0.62517","0.004274","0.005019","2"
"0.521655","1.109027","1.741907","1.418253","0.315043","0.235069","1.195496","0.724424","-0.129634","-0.105236","-0.183668","-0.911194","-2.275402","-2.610589","1.034117","2.663971","0.957153","-1.883035","-2.354947","-1.712772","-0.585492","0.706712","1.342607","1.691166","1.935809","2.177471","2.14801","1.854128","1.499008","1.366962","1.044413","0.87346","0.856763","0.467029","-0.313914","-0.888329","-1.176123","-1.284634","-1.295499","-1.344994","-1.394308","-1.095258","-0.726741","-0.411766","-0.093717","0.062504","2"
"1.06873","0.833882","0.480676","0.287079","0.422788","0.667742","1.008073","1.496637","1.776478","2.105224","2.796138","2.916026","3.656305","4.845959","3.182961","0.258578","-1.746856","-2.848104","-3.382974","-2.979429","-2.53459","-2.065276","-1.33888","-0.792401","-0.352321","-0.025895","0.091891","0.000682","-0.203048","-0.186084","0.055918","0.19679","-0.012748","-0.323531","-0.540846","-0.915744","-1.493741","-1.951649","-2.22896","-2.094368","-1.610672","-0.839078","-0.329612","0.202308","0.715009","0.9452","2"
"0.209777","0.696913","0.938073","0.715002","0.565372","0.339883","0.202802","0.848523","1.524356","0.983932","0.657569","1.83486","2.536674","1.412214","2.110557","1.162616","-1.294253","-3.990068","-5.254127","-4.104007","-1.390313","0.115305","0.542549","0.642273","0.677547","0.560478","0.532615","0.774517","0.835821","0.597232","0.63412","0.696205","0.588628","0.240699","0.153935","0.544213","0.716527","-0.346931","-1.620782","-2.074297","-1.947164","-1.727029","-1.666509","-1.634659","-1.323084","-0.796804","2"
"0.615953","1.042763","1.472148","1.200884","0.852665","1.105198","1.16155","0.848947","0.920788","0.951616","1.17706","1.901315","2.31635","2.421566","3.420018","0.78661","-2.108951","-3.635887","-2.82205","-2.082278","-1.706301","-0.918651","0.113119","0.582743","0.624095","0.337014","0.254219","0.533173","0.785409","0.921315","0.584844","0.181082","0.022454","0.153096","0.031972","-0.899894","-1.855161","-2.018238","-2.117584","-2.597279","-2.844592","-2.670919","-0.909546","1.574139","2.327971","2.80069","2"
"0.899222","0.971546","1.132411","0.98535","0.830434","0.62509","1.148803","1.552466","1.119073","1.346575","1.680429","2.821558","3.819909","1.013855","-0.064634","2.755406","4.129302","2.000235","-1.540212","-2.929357","-2.353357","-1.41542","-0.665152","0.041445","0.557557","0.893618","1.247437","1.289082","1.270862","1.162865","0.981282","0.749962","0.449588","0.068077","-0.395714","-1.186393","-1.77128","-2.132747","-2.17809","-2.13076","-1.590216","-1.048629","-1.027648","-1.167679","-1.057145","-0.410672","2"
"0.136931","0.32546","0.326338","0.210736","0.055862","0.163085","0.443236","0.554913","0.86036","1.259471","1.380822","2.614175","3.56497","2.978187","2.35254","1.872954","-1.839642","-3.823976","-2.668651","-0.707933","0.108232","0.032778","0.335297","0.843716","1.045866","1.129583","1.075275","1.073001","1.232614","1.252794","1.105208","0.606636","0.143867","-0.417154","-0.847639","-1.288778","-1.695292","-1.632257","-1.539266","-0.999637","-0.399709","0.243055","0.570691","-0.115069","-1.502299","-1.803188","2"
"0.083009","0.167191","0.060252","-0.000697","0.316602","0.920081","1.306427","1.676372","1.932626","1.9873","2.68072","3.535833","3.753605","3.823377","4.125737","2.590149","0.078408","-1.992509","-2.624575","-0.388172","0.258519","0.220901","0.079949","0.259584","0.576838","0.425819","0.392418","0.606468","0.943975","1.179972","1.187879","0.92244","0.615021","0.072321","-0.757355","-1.376569","-1.589052","-1.547463","-1.223491","-1.440354","-1.750938","-1.479635","-0.657715","-0.09723","-0.210404","-0.446473","2"
"0.483384","0.342452","0.019698","0.125561","0.210105","0.543738","0.525552","0.335708","0.591433","0.69619","0.612937","1.435816","2.004985","2.451957","1.126606","-1.902496","-2.712236","-3.51683","-1.87696","-1.07336","-0.812427","-0.504048","0.491916","1.181835","1.298036","1.461221","1.751978","1.968122","1.943722","1.704089","1.789867","1.761524","1.596937","1.458449","1.364155","1.353722","0.876115","0.343521","-0.042416","-0.340325","-0.408831","-0.622398","-1.040429","-1.469118","-1.778035","-1.843482","2"
