"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"-1.588046","-1.547098","-1.620883","-1.644687","-1.896915","-1.916122","-1.908538","-1.848891","-1.584554","-1.515628","-1.209961","-0.783726","0.079906","1.217087","2.620123","3.980859","4.448519","4.881852","4.745973","4.560987","4.048338","3.321268","2.740579","2.244153","1.964324","1.774795","1.549574","1.361111","1.283894","1.111434","0.976216","0.831086","0.640425","0.362412","-0.074501","-0.406843","-0.612676","-0.841835","-0.961265","-0.938042","-1.39732","-1.48266","-1.130255","-1.214883","-1.372183","-1.321893","2"
"-2.124926","-2.128396","-1.863754","-1.669261","-1.746616","-1.749491","-1.686757","-1.715773","-1.919744","-1.579885","-1.546357","-0.809735","0.286623","1.334073","2.896894","3.479305","4.905496","5.11286","4.855631","4.805788","4.034392","3.281775","2.824418","2.494282","2.065532","1.745128","1.529584","1.367815","1.178837","1.076872","0.930048","0.743104","0.496012","-0.055742","-0.39806","-0.468212","-0.605015","-1.016271","-1.375554","-1.529812","-1.514429","-1.45041","-1.474314","-1.39103","-1.171967","-1.127625","2"
"-1.70019","-1.619564","-1.624177","-1.600281","-1.713334","-1.829552","-2.121961","-2.35346","-2.363034","-2.312525","-2.041243","-1.747633","-0.56101","1.113082","2.935359","3.876568","4.708452","5.954398","5.481836","5.511451","5.126457","4.239303","3.085755","2.135423","1.788445","1.521368","1.108029","0.641405","0.304281","0.346859","0.604742","0.630086","0.362307","-0.483901","-1.322687","-1.346276","-1.335187","-1.391502","-1.401149","-1.034172","-0.870633","-1.271114","-1.33591","-1.042398","-0.838663","-0.836085","2"
"-2.002432","-1.849471","-1.538391","-1.554172","-1.344389","-1.337267","-1.601466","-1.840159","-1.628646","-1.556155","-1.245771","-0.677355","0.575023","2.979173","3.753674","5.343537","5.468215","5.548603","5.493744","4.577161","3.831627","3.462568","3.013876","2.280204","1.58384","1.143928","0.931974","0.85001","0.612671","0.074422","-0.550491","-0.982841","-1.277088","-1.643763","-2.05667","-2.219994","-2.178392","-2.115354","-1.995656","-1.887869","-1.883185","-1.512823","-1.45573","-1.604015","-1.73008","-1.6453","2"
"-0.859251","-1.058661","-1.270357","-1.230179","-1.324743","-1.85752","-2.128727","-2.39856","-3.007113","-3.588064","-3.099476","-2.345479","-1.648714","0.452921","2.349017","3.786673","5.385628","5.770144","5.584143","5.060552","4.181492","3.257917","2.605158","1.791103","1.098156","0.80689","0.623497","0.438817","0.323312","0.299595","0.41175","0.31238","-0.147739","-0.737728","-0.845815","-0.463499","-0.461239","-0.523634","-0.181877","-0.219416","-0.730125","-0.893963","-0.865198","-0.917505","-1.048696","-1.341357","2"
"-2.38801","-2.465857","-2.407432","-2.210355","-2.205448","-2.283628","-2.340032","-2.532321","-2.195609","-1.542556","-1.094774","-0.396146","0.943355","2.035899","3.572613","4.71068","5.443007","5.664158","4.976988","4.080171","3.77056","3.102375","2.326955","1.944169","1.759821","1.57289","1.466008","1.369106","1.320686","1.184091","1.097181","1.178989","0.904395","0.558888","0.170357","-0.309796","-0.718877","-1.121035","-1.375427","-1.107526","-1.061126","-1.334656","-1.122179","-0.99665","-1.437063","-1.319184","2"
"-2.910135","-2.785037","-2.560469","-2.434503","-2.374607","-2.183152","-1.868276","-1.763189","-1.680321","-1.571768","-1.273494","-0.679464","0.763949","2.017938","3.502853","4.506954","4.946861","5.663719","5.678099","5.355288","4.655803","3.85516","3.600121","3.063001","2.551558","2.048223","1.736213","1.601179","1.532469","1.486773","1.143808","0.437478","-0.097242","-0.360189","-0.680985","-1.004845","-1.499537","-1.732834","-1.717152","-2.075588","-3.185676","-4.512128","-5.647161","-5.699682","-5.932494","-5.268335","2"
"-1.691766","-2.110742","-2.050638","-2.008072","-2.212078","-2.35155","-2.294121","-2.279692","-1.961723","-1.534642","-0.601085","0.538361","2.246053","3.123706","3.558855","4.596511","5.693314","6.284059","5.849797","5.867122","5.250665","4.4314","3.708942","2.778536","1.916607","1.299532","0.819026","0.390218","0.156004","-0.073718","-0.291406","-0.521855","-1.008339","-1.506773","-1.68385","-1.585653","-1.689187","-2.073438","-2.156975","-1.787749","-1.677702","-1.943479","-1.831222","-1.244952","-1.725547","-2.544878","2"
"-1.419723","-1.172595","-0.887793","-0.65909","-0.71968","-0.889267","-1.075732","-1.328786","-1.420051","-1.242898","-1.110229","-0.134761","1.307377","2.979098","4.240055","5.054339","5.469568","5.920052","5.544112","5.407887","4.573564","3.616032","2.999954","2.694652","2.527045","2.25801","1.886485","1.41947","1.062307","0.727553","0.258718","-0.255614","-0.687806","-1.229212","-2.052678","-2.873126","-3.750215","-4.48104","-5.409912","-5.800832","-5.479247","-5.157365","-4.376192","-3.432863","-2.969812","-2.43132","2"
"-0.629967","-0.491172","-0.424312","-0.458365","-0.417783","-0.372232","-0.475178","-0.63059","-0.886426","-0.782983","-0.619398","0.044543","1.330794","2.716439","4.496885","5.660827","6.425836","6.460074","5.982275","5.847018","5.067371","4.232651","3.410994","2.956917","2.68421","2.330876","1.893533","1.52005","1.155282","0.748433","0.166349","-0.48234","-0.841782","-1.036159","-1.297243","-1.443012","-1.492905","-1.554681","-1.405672","-1.313007","-1.442639","-1.438226","-1.306277","-1.335499","-1.602663","-1.89406","2"
